X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Region Code,Planning Area Name,Central Area Indicator,SHAPE,Y_ADDR,INC_CRC,SHAPE_Area,Field_1,Planning Area Code
103.695558246125,1.38081263105887,24,WESTERN WATER CATCHMENT,,12020.342,44305.660568,12/5/2014 9:22:21 PM,WEST REGION,WR,WESTERN WATER CATCHMENT,N,Polygon,40454.871,82062B23F9087DE0,69748298.792012,WESTERN WATER CATCHMENT,WC
103.843395065412,1.41903107546818,25,YISHUN,,28404.036,22781.571718,12/5/2014 9:22:21 PM,NORTH REGION,NR,YISHUN,N,Polygon,44086.2199,8E97EE13381B69DA,20874528.873136,YISHUN,YS
103.855881583265,1.28586048300263,26,DOWNTOWN CORE,,30335.1872,12142.075255,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,DOWNTOWN CORE,Y,Polygon,29721.4517,5914236396CFDF82,4468713.355311,DOWNTOWN CORE,DT
103.840985064638,1.30850592056878,28,NEWTON,,28529.6572,8886.285814,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,NEWTON,Y,Polygon,32330.4948,1DE4AA639FDF20AC,2068721.523279,NEWTON,NT
103.834064999534,1.30401214500073,29,ORCHARD,,28029.1422,7276.209756,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,ORCHARD,Y,Polygon,31793.8582,4DFCD59D0FACF7C5,957525.428432,ORCHARD,OR
103.788531319639,1.44177256818896,30,WOODLANDS,,22923.7968,16932.546528,12/5/2014 9:22:21 PM,NORTH REGION,NR,WOODLANDS,N,Polygon,46928.6271,57F29EEC463EBBFC,13613633.273379,WOODLANDS,WD
103.866019592102,1.28079583232932,31,MARINA SOUTH,,31595.8357,5267.381024,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,MARINA SOUTH,Y,Polygon,29220.1873,5ED7EB250108CED5,1630379.267999,MARINA SOUTH,MS
103.738438099782,1.32511893769383,34,JURONG EAST,,17035.36,27340.817292,12/5/2014 9:22:21 PM,WEST REGION,WR,JURONG EAST,N,Polygon,33633.6903,D72351F1113079A2,17858613.322854,JURONG EAST,JE
103.719235724067,1.43100239457787,35,LIM CHU KANG,,15309.8168,18733.836251,12/5/2014 9:22:21 PM,NORTH REGION,NR,LIM CHU KANG,N,Polygon,45819.0414,E4489A08FC8CCAF7,17494884.184213,LIM CHU KANG,LK
103.773044600613,1.3662174282509,4,BUKIT PANJANG,,21287.0436,15891.853279,12/5/2014 9:22:21 PM,WEST REGION,WR,BUKIT PANJANG,N,Polygon,38761.8448,4A9C6E6BAF7BE998,9019939.837402,BUKIT PANJANG,BP
103.898536293656,1.29910122755545,37,MARINE PARADE,,35005.8631,13952.63216,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,MARINE PARADE,N,Polygon,31398.3307,6351E8FE95B3D9E9,6134751.303452,MARINE PARADE,MP
104.052614926749,1.38913886755748,38,NORTH-EASTERN ISLANDS,,50424.7923,62436.23535,12/5/2014 9:22:21 PM,NORTH-EAST REGION,NER,NORTH-EASTERN ISLANDS,N,Polygon,42612.8784,92BC3E09ACAE5FEA,67250562.960002,NORTH-EASTERN ISLANDS,NE
103.669349706571,1.30988294768257,39,PIONEER,,10156.666,20540.684361,12/5/2014 9:22:21 PM,WEST REGION,WR,PIONEER,N,Polygon,32765.2907,3AF012CC0BE1DF82,12217910.693697,PIONEER,PN
103.785141889528,1.28693220263196,41,QUEENSTOWN,,22573.4605,34082.508022,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,QUEENSTOWN,N,Polygon,30164.6999,3CB2E20AC22FDB3D,21672762.52852,QUEENSTOWN,QT
103.834322838058,1.24892188782116,42,SOUTHERN ISLANDS,,28281.6947,43123.170927,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,SOUTHERN ISLANDS,N,Polygon,25069.9827,E82852AECAE993F7,7125451.826051,SOUTHERN ISLANDS,SI
103.634276555005,1.28187353972993,43,TUAS,,5687.9711,71846.942555,12/5/2014 9:22:21 PM,WEST REGION,WR,TUAS,N,Polygon,28998.2549,69B4325D39BB4475,45289470.82596,TUAS,TS
103.865182063508,1.31214924275231,45,KALLANG,,31685.373,15584.137724,12/5/2014 9:22:21 PM,CENTRAL REGION,CR,KALLANG,N,Polygon,32515.7735,229F1481FF686959,9169901.640442,KALLANG,KL
103.849675099051,1.44253365434277,46,SIMPANG,,30181.2593,18102.012417,12/5/2014 9:22:21 PM,NORTH REGION,NR,SIMPANG,N,Polygon,47305.151,B5B8509F389104C6,8283191.219882,SIMPANG,SM
